<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240202;163000;15958;15962;15956;15958;425
240202;164500;15958;15968;15956;15960;1188
240202;170000;15960;15964;15956;15958;417
240202;171500;15958;15960;15954;15958;913
240202;173000;15956;15958;15944;15956;2144
240202;174500;15956;15960;15956;15956;294
240202;180000;15956;15960;15950;15950;343
240202;181500;15950;15968;15950;15968;1331
240202;183000;15968;15970;15966;15968;596
240202;184500;15940;15940;15940;15940;3839
240202;190000;15964;15964;15946;15950;737
240202;191500;15948;15956;15942;15952;544
240202;193000;15952;15956;15950;15954;474
240202;194500;15956;15956;15950;15950;517
240202;200000;15952;15958;15950;15956;439
240202;201500;15956;15958;15950;15950;362
240202;203000;15952;15954;15950;15952;395
240202;204500;15952;15956;15950;15956;343
240202;210000;15958;15958;15950;15952;79
240202;211500;15952;15956;15950;15950;513
240202;213000;15950;15952;15950;15950;504
240202;214500;15952;15956;15950;15954;246
240202;220000;15954;15958;15952;15954;372
240202;221500;15952;15954;15952;15954;62
240202;223000;15952;15954;15950;15954;588
240202;224500;15954;15956;15950;15950;235
240202;230000;15950;15956;15950;15956;689
240202;231500;15956;15956;15950;15952;386
240202;233000;15952;15952;15950;15950;298
240202;234500;15952;15952;15950;15950;394
240205;100000;15956;15968;15950;15960;2342
240205;101500;15962;15968;15960;15966;2368
240205;103000;15966;15970;15956;15956;2415
240205;104500;15956;15960;15938;15942;1820
240205;110000;15942;15946;15934;15938;1655
240205;111500;15938;15946;15934;15936;891
240205;113000;15938;15942;15930;15930;728
240205;114500;15932;15942;15928;15930;882
240205;120000;15928;15938;15926;15936;1027
240205;121500;15936;15936;15926;15930;1277
240205;123000;15930;15950;15928;15948;1418
240205;124500;15950;15950;15918;15920;4641
240205;130000;15918;15920;15916;15918;2648
240205;131500;15920;15928;15918;15926;709
240205;133000;15926;15940;15926;15940;431
240205;134500;15938;15946;15934;15940;1255
240205;140000;15940;15958;15938;15952;747
240205;141500;15952;15954;15946;15950;404
240205;143000;15952;15954;15950;15950;225
240205;144500;15952;15954;15942;15950;1022
240205;150000;15946;15950;15940;15946;845
240205;151500;15946;15950;15938;15940;824
240205;153000;15944;15950;15940;15950;492
240205;154500;15950;15958;15942;15958;796
240205;160000;15956;15962;15948;15952;734
240205;161500;15958;15960;15944;15952;469
240205;163000;15950;15956;15948;15956;286
240205;164500;15954;15966;15952;15956;2471
240205;170000;15954;15960;15952;15956;267
240205;171500;15956;15962;15950;15960;1187
240205;173000;15960;15968;15960;15968;518
240205;174500;15966;15968;15960;15960;763
240205;180000;15960;15964;15948;15950;1033
240205;181500;15950;15950;15936;15946;1314
240205;183000;15944;15956;15944;15950;638
240205;184500;15930;15930;15930;15930;4577
240205;190000;15938;15938;15926;15930;666
240205;191500;15930;15938;15928;15932;183
