<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240207;101500;2062.6;2063.6;2061.7;2062.4;4867
240207;103000;2062.4;2062.6;2061.9;2062;2385
240207;104500;2062;2062.1;2061.2;2061.7;712
240207;110000;2061.7;2061.9;2060.9;2060.9;747
240207;111500;2060.9;2061.1;2059.3;2059.5;1094
240207;113000;2059.6;2060;2058.3;2060;1507
240207;114500;2060.1;2060.8;2059.6;2059.6;649
240207;120000;2059.7;2060.5;2059.6;2059.8;490
240207;121500;2059.9;2061.1;2059.3;2061;1208
240207;123000;2061.1;2061.3;2060.2;2060.8;2752
240207;124500;2060.8;2061.5;2060.7;2060.8;844
240207;130000;2060.9;2060.9;2058.7;2058.9;3738
240207;131500;2058.9;2059;2057.6;2058.2;4649
240207;133000;2058.2;2058.6;2057.9;2057.9;6588
240207;134500;2058;2058.6;2057.8;2057.9;1582
240207;140000;2057.8;2058;2057.2;2057.5;2447
240207;141500;2057.5;2058.7;2056.9;2058.7;4585
240207;143000;2058.6;2058.7;2056.6;2056.9;3118
240207;144500;2056.9;2057;2056.1;2057;1533
240207;150000;2057;2057;2055.2;2055.3;2938
240207;151500;2055.3;2055.6;2054.1;2055.3;4483
240207;153000;2055.3;2056.4;2054;2056.4;3509
240207;154500;2056.4;2056.6;2055.6;2055.6;3185
240207;160000;2055.7;2056;2055.4;2055.8;1315
240207;161500;2055.9;2057;2055.9;2056.9;2782
240207;163000;2056.8;2058.1;2056.6;2057.7;3589
240207;164500;2057.6;2057.9;2055.7;2057.9;1448
240207;170000;2057.9;2059.8;2057.9;2059.1;3175
240207;171500;2059;2060.2;2057.6;2057.9;1158
240207;173000;2057.8;2064.9;2055.8;2063.2;5689
240207;174500;2063.3;2066.4;2063.2;2064.6;6398
240207;180000;2064.4;2064.9;2061.3;2061.6;2721
240207;181500;2061.7;2061.7;2057.4;2060.4;4781
240207;183000;2060.5;2062.9;2059.6;2061.8;2261
240207;184500;2061.9;2062;2061.1;2061.4;378
240207;190000;2061.3;2061.9;2060.2;2061.9;792
240207;191500;2062;2062;2060.1;2060.8;792
240207;193000;2060.9;2060.9;2058.7;2058.8;772
240207;194500;2059;2060.8;2058.9;2060;524
240207;200000;2059.9;2060;2057.5;2057.7;1845
240207;201500;2057.9;2059.1;2056.9;2057;1021
240207;203000;2057;2058.7;2056.8;2058;578
240207;204500;2058.1;2058.3;2057.6;2058.2;251
240207;210000;2058.2;2059.7;2057.8;2059.1;513
240207;211500;2059.1;2059.1;2058.2;2058.3;119
240207;213000;2058.3;2059;2057.1;2057.4;257
240207;214500;2057.4;2058.2;2056.9;2057.8;314
240207;220000;2057.7;2058.3;2057.3;2058.3;243
240207;221500;2058.3;2058.8;2058.1;2058.4;201
240207;223000;2058.3;2058.7;2058.2;2058.5;97
240207;224500;2058.3;2058.9;2058;2058.6;180
240207;230000;2058.6;2058.7;2057.8;2057.8;354
240207;231500;2057.8;2058.9;2057.8;2058.3;206
240207;233000;2058.3;2058.5;2057.6;2058;327
240207;234500;2058;2058.7;2057.5;2058.6;147
240208;090000;2056.9;2056.9;2055.3;2055.3;1771
240208;091500;2055.4;2056.3;2055.2;2056.3;742
240208;093000;2056.2;2056.2;2055.8;2055.9;146
240208;094500;2056;2057.1;2055.9;2056.4;509
240208;100000;2056.3;2056.8;2055.8;2056.8;400
240208;101500;2056.7;2057.7;2056.7;2057.1;604
240208;103000;2057;2057.1;2055.2;2055.3;1069
240208;104500;2055.2;2055.8;2054;2055.7;2836
240208;110000;2055.8;2055.8;2054.4;2054.6;1583
240208;111500;2054.7;2054.8;2052.7;2052.9;2697
240208;113000;2053;2053.1;2052.5;2052.6;2055
240208;114500;2052.7;2054.9;2052.7;2054;1256
240208;120000;2053.9;2054.4;2053.4;2053.5;1676
240208;121500;2053.5;2053.7;2052.8;2052.8;666
240208;123000;2052.8;2055.4;2052.7;2055.2;1358
240208;124500;2055.2;2057.4;2055.1;2057.2;2328
240208;130000;2057.2;2057.3;2056.1;2056.2;2076
240208;131500;2056.3;2058.9;2055.7;2058.6;2278
240208;133000;2058.8;2059;2057.5;2057.5;756
240208;134500;2057.6;2057.6;2056.7;2057.2;1019
240208;140000;2057;2057;2053.9;2054.4;1700
240208;141500;2054.4;2054.6;2052.5;2052.5;1535
240208;143000;2052.6;2052.9;2050.7;2052.7;2838
240208;144500;2052.7;2052.8;2051.5;2052.7;1491
240208;150000;2052.5;2052.7;2050.5;2052.1;2245
240208;151500;2052;2052;2050.8;2050.9;982
240208;153000;2050.9;2051;2048.5;2049.5;5006
240208;154500;2049.4;2050.3;2048.8;2050.1;2052
240208;160000;2050;2050.5;2048.5;2050.1;2013
240208;161500;2050.3;2051.5;2050;2050.7;1712
240208;163000;2050.6;2050.6;2046.8;2048;6025
240208;164500;2048.1;2048.9;2046.2;2046.9;2115
240208;170000;2046.7;2048.9;2045.9;2048.2;2266
240208;171500;2048.4;2053.3;2048.4;2052.3;4710
240208;173000;2052.3;2057;2051.6;2052.3;6879
240208;174500;2052.3;2053.9;2050.8;2051;1682
240208;180000;2051;2053.1;2050.8;2051.3;1786
240208;181500;2051.3;2053.9;2050.8;2053.5;1130
