<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
USD000UTSTOM;15;240109;173000;89.5225;9297000
USD000UTSTOM;15;240109;174500;89.4025;9125000
USD000UTSTOM;15;240109;180000;89.4825;6285000
USD000UTSTOM;15;240109;181500;89.685;10939000
USD000UTSTOM;15;240109;183000;89.83;11900000
USD000UTSTOM;15;240109;184500;89.8975;5514000
USD000UTSTOM;15;240110;070000;89.85;1177000
USD000UTSTOM;15;240110;071500;90;4328000
USD000UTSTOM;15;240110;073000;89.9175;801000
USD000UTSTOM;15;240110;074500;89.87;13000
USD000UTSTOM;15;240110;080000;89.85;7073000
USD000UTSTOM;15;240110;081500;89.8375;924000
USD000UTSTOM;15;240110;083000;89.78;800000
USD000UTSTOM;15;240110;084500;89.73;875000
USD000UTSTOM;15;240110;090000;89.625;6403000
USD000UTSTOM;15;240110;091500;89.685;4346000
USD000UTSTOM;15;240110;093000;89.545;3911000
USD000UTSTOM;15;240110;094500;89.51;16923000
USD000UTSTOM;15;240110;100000;89.64;48556000
USD000UTSTOM;15;240110;101500;89.5625;17407000
USD000UTSTOM;15;240110;103000;89.55;30057000
USD000UTSTOM;15;240110;104500;89.53;13230000
USD000UTSTOM;15;240110;110000;89.435;32443000
USD000UTSTOM;15;240110;111500;89.3225;21373000
USD000UTSTOM;15;240110;113000;89.3925;26602000
USD000UTSTOM;15;240110;114500;89.27;35823000
USD000UTSTOM;15;240110;120000;89.54;58063000
USD000UTSTOM;15;240110;121500;89.5125;46843000
USD000UTSTOM;15;240110;123000;89.4625;37399000
USD000UTSTOM;15;240110;124500;89.45;17699000
USD000UTSTOM;15;240110;130000;89.385;26301000
USD000UTSTOM;15;240110;131500;89.38;16388000
USD000UTSTOM;15;240110;133000;89.2925;72707000
USD000UTSTOM;15;240110;134500;89.3;24362000
USD000UTSTOM;15;240110;140000;89.325;23225000
USD000UTSTOM;15;240110;141500;89.3575;18979000
USD000UTSTOM;15;240110;143000;89.305;27942000
USD000UTSTOM;15;240110;144500;89.2925;20820000
USD000UTSTOM;15;240110;150000;89.045;35287000
