,code,year,hdi,country,epi,population,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission
206,JAM,1955,0.28,,,,,,,
207,JPN,1955,0.42,,,,,,,
208,JOR,1955,0.18,,,,,,,
209,KEN,1955,0.12,,,,,,,
210,KWT,1955,0.24,,,,,,,
211,LAO,1955,0.1,,,,,,,
212,LBN,1955,0.25,,,,,,,
213,LSO,1955,0.14,,,,,,,
214,LBR,1955,0.09,,,,,,,
215,LBY,1955,0.13,,,,,,,
216,MDG,1955,0.13,,,,,,,
217,MWI,1955,0.09,,,,,,,
218,MYS,1955,0.21,,,,,,,
219,MLI,1955,0.05,,,,,,,
220,MRT,1955,0.05,,,,,,,
221,MUS,1955,0.24,,,,,,,
222,MEX,1955,0.24,,,,,,,
223,MAR,1955,0.12,,,,,,,
224,MOZ,1955,0.09,,,,,,,
225,MMR,1955,0.14,,,,,,,
226,NAM,1955,0.13,,,,,,,
227,NPL,1955,0.05,,,,,,,
228,NLD,1955,0.49,,,,,,,
229,NZL,1955,0.52,,,,,,,
230,NIC,1955,0.17,,,,,,,
231,NER,1955,0.04,,,,,,,
232,NGA,1955,0.09,,,,,,,
233,NOR,1955,0.48,,,,,,,
234,OMN,1955,0.08,,,,,,,
235,PAK,1955,0.11,,,,,,,
236,PAN,1955,0.27,,,,,,,
237,PRY,1955,0.28,,,,,,,
238,PER,1955,0.21,,,,,,,
239,PHL,1955,0.24,,,,,,,
240,POL,1955,0.36,,,,,,,
241,PRT,1955,0.26,,,,,,,
242,PRI,1955,0.37,,,,,,,
243,QAT,1955,0.2,,,,,,,
244,ROU,1955,0.29,,,,,,,
245,RUS,1955,0.38,,,,,,,
246,RWA,1955,0.1,,,,,,,
247,SAU,1955,0.07,,,,,,,
248,SEN,1955,0.07,,,,,,,
249,SRB,1955,0.29,,,,,,,
250,SLE,1955,0.06,,,,,,,
251,SGP,1955,0.27,,,,,,,
252,ZAF,1955,0.21,,,,,,,
253,KOR,1955,0.23,,,,,,,
