<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZA;30;231106;180000;1025.0000000;1025.0000000;1022.5000000;1022.5000000;30
GAZA;30;231106;183000;1022.5000000;1022.5000000;1022.5000000;1022.5000000;10
GAZA;30;231107;100000;1032.0000000;1032.0000000;1025.0000000;1025.0000000;220
GAZA;30;231107;103000;1025.0000000;1025.0000000;1025.0000000;1025.0000000;10
GAZA;30;231107;110000;1025.0000000;1025.0000000;1021.0000000;1025.0000000;390
GAZA;30;231107;120000;1020.0000000;1020.0000000;1020.0000000;1020.0000000;70
GAZA;30;231107;123000;1020.0000000;1020.0000000;1020.0000000;1020.0000000;10
GAZA;30;231107;130000;1020.0000000;1020.0000000;1020.0000000;1020.0000000;10
GAZA;30;231107;133000;1020.0000000;1020.0000000;1010.5000000;1011.0000000;90
GAZA;30;231107;140000;1016.5000000;1016.5000000;1016.5000000;1016.5000000;10
GAZA;30;231107;143000;1016.0000000;1016.0000000;1016.0000000;1016.0000000;20
GAZA;30;231107;150000;1013.0000000;1013.0000000;1013.0000000;1013.0000000;10
GAZA;30;231107;153000;1016.5000000;1016.5000000;1016.5000000;1016.5000000;10
GAZA;30;231107;160000;1017.0000000;1031.0000000;1017.0000000;1027.5000000;720
GAZA;30;231107;170000;1024.5000000;1024.5000000;1024.5000000;1024.5000000;10
GAZA;30;231107;173000;1022.5000000;1022.5000000;1022.5000000;1022.5000000;20
GAZA;30;231107;180000;1023.0000000;1023.0000000;1023.0000000;1023.0000000;10
GAZA;30;231107;183000;1023.0000000;1023.0000000;1020.5000000;1020.5000000;20
GAZA;30;231108;100000;1020.5000000;1020.5000000;1015.5000000;1016.0000000;60
GAZA;30;231108;103000;1016.0000000;1021.5000000;1016.0000000;1018.0000000;130
GAZA;30;231108;110000;1017.0000000;1019.5000000;1017.0000000;1019.5000000;40
GAZA;30;231108;113000;1017.0000000;1019.5000000;1017.0000000;1019.5000000;30
