,country,code,year,hdi,epi,gni_per_capita,gdp_per_capita,co2_emission_per_capita,forest_area,ghg_emission
187,Cote d'Ivoire,CIV,2010,0.24,"53,5",1190.0,34936305296.9689,0.30066227636444,39655.8,19209.9990844727
188,Cote d'Ivoire,CIV,2015,0.22,,2010.0,45814637971.4745,0.415735394121447,34011.5,22649.9996185303
189,Croatia,HRV,2000,0.52,"60,8",5250.0,21807856145.1037,4.03732782609591,18850.0,25209.9990844727
190,Croatia,HRV,2005,0.56,"61,5",10260.0,45835098187.6637,4.97663089361019,19025.0,27850.0003814697
191,Croatia,HRV,2007,0.59,"61,7",12790.0,60641942979.2183,5.30831722875359,19095.0,30079.9999237061
192,Croatia,HRV,2010,0.6,"64,2",14270.0,60672093864.787,4.53039920931556,19200.0,26149.9996185303
193,Croatia,HRV,2015,0.63,,13310.0,50242783066.1173,3.94899243160624,19220.0,22610.0006103516
194,Cuba,CUB,2000,0.51,"52,5",2620.0,30565400000.0,2.5527222689496,24350.0,43930.0003051758
195,Cuba,CUB,2005,0.56,"54,6",3970.0,42643836100.0,2.34036394214252,26835.0,40439.998626709
196,Cuba,CUB,2007,0.69,"55,5",4740.0,54262870370.3704,2.45610273689309,27829.0,42569.9996948242
197,Cuba,CUB,2010,0.73,"56,5",5170.0,59562962962.963,2.48972209001241,29320.0,43729.9995422363
198,Cuba,CUB,2015,0.64,,7220.0,87133000000.0,2.57586173949004,31840.0,45169.9981689453
199,Cyprus,CYP,2000,0.59,"56,2",14180.0,9985844486.33365,7.51921724210298,1716.1,8149.99961853027
200,Cyprus,CYP,2005,0.62,"57,5",23990.0,18433411267.2553,7.61767386652623,1722.25,9020.00045776367
201,Cyprus,CYP,2007,0.64,"57,0",27340.0,23968764029.5647,7.73834561406861,1724.71,9489.99977111816
202,Cyprus,CYP,2010,0.66,"57,2",32130.0,25800247911.9714,6.99309374053271,1728.4,9210.00003814697
203,Cyprus,CYP,2015,0.66,,26100.0,19909190058.804,5.76948984623052,1727.1,8210.00003814697
204,Czechia,CZE,2000,0.54,,6340.0,61828166496.0941,12.0106526893106,26372.9,144100.006103516
205,Czech Republic,CZE,2000,,"60,5",6340.0,61828166496.0941,12.0106526893106,26372.9,144100.006103516
206,Czechia,CZE,2005,0.6,,12480.0,137143471328.274,11.7508040045152,26473.35,140020.004272461
207,Czech Republic,CZE,2005,,"63,0",12480.0,137143471328.274,11.7508040045152,26473.35,140020.004272461
208,Czechia,CZE,2007,0.62,,15850.0,190183800884.018,12.0033078275103,26513.53,143970.001220703
209,Czech Republic,CZE,2007,,"64,2",15850.0,190183800884.018,12.0033078275103,26513.53,143970.001220703
210,Czechia,CZE,2010,0.64,,19400.0,209069940963.177,10.7165940611452,26573.8,132750.0
211,Czech Republic,CZE,2010,,"64,8",19400.0,209069940963.177,10.7165940611452,26573.8,132750.0
212,Czechia,CZE,2015,0.68,,18370.0,188033050459.881,9.4006680021085,26683.9,120459.999084473
213,Democratic Republic of Congo,COD,2000,0.14,,130.0,19088046305.7971,0.0335278379890439,1438990.0,34009.9983215332
214,Dem. Rep. Congo,COD,2000,,"46,3",130.0,19088046305.7971,0.0335278379890439,1438990.0,34009.9983215332
215,Democratic Republic of Congo,COD,2005,0.15,,200.0,11964484667.9102,0.0390802897491671,1405340.0,46990.0016784668
216,Dem. Rep. Congo,COD,2005,,"46,9",200.0,11964484667.9102,0.0390802897491671,1405340.0,46990.0016784668
217,Democratic Republic of Congo,COD,2007,0.17,,250.0,16737071816.38,0.040969044762284,1391880.0,45580.0018310547
218,Dem. Rep. Congo,COD,2007,,"47,4",250.0,16737071816.38,0.040969044762284,1391880.0,45580.0018310547
219,Democratic Republic of Congo,COD,2010,0.18,,310.0,21565720044.4634,0.0399148956521102,1371690.0,49220.0012207031
220,Dem. Rep. Congo,COD,2010,,"47,5",310.0,21565720044.4634,0.0399148956521102,1371690.0,49220.0012207031
221,Democratic Republic of Congo,COD,2015,0.22,,440.0,37917704900.0794,0.0410644184402871,1316621.2,52540.0009155273
222,Denmark,DNK,2000,0.69,"60,9",32580.0,164158739097.623,9.85089564493027,5716.0,69709.9990844727
223,Denmark,DNK,2005,0.78,"63,0",49610.0,264467336457.17,9.26296349191935,5790.45,66339.9963378906
224,Denmark,DNK,2007,0.79,"62,9",55740.0,319423424509.066,9.77947563396529,5820.23,69279.9987792969
225,Denmark,DNK,2010,0.8,"63,6",61220.0,321995279401.502,8.67389123204855,5864.9,63159.9998474121
226,Denmark,DNK,2015,0.83,,60510.0,302673070846.857,5.92946275425465,6246.8,47880.0010681152
227,Djibouti,DJI,2000,0.18,..,,551230861.856505,0.498630114833168,56.0,1220.00002861023
228,Djibouti,DJI,2005,0.2,..,,708633194.726566,0.517535432704817,56.0,1309.99994277954
229,Djibouti,DJI,2007,0.22,..,,847918929.107984,0.543229509623146,56.0,1350.00002384186
230,Djibouti,DJI,2010,0.23,..,,1128611700.3618,0.565709907132747,56.0,1409.9999666214
231,Djibouti,DJI,2015,0.26,,2310.0,2424391785.43897,0.457138776741028,56.0,1399.99997615814
232,Dominican Republic,DOM,2000,0.41,"50,7",2660.0,24305717541.6371,2.18598019785287,19724.7,27149.9996185303
233,Dominican Republic,DOM,2005,0.43,"52,6",3020.0,35777570135.5225,2.03933155035213,20227.95,28590.0001525879
234,Dominican Republic,DOM,2007,0.45,"52,7",4400.0,43965420072.4107,2.1941658330786,20429.25,31780.0006866455
235,Dominican Republic,DOM,2010,0.47,"52,4",5280.0,53860175555.9961,2.11543766237757,20731.2,32770.0004577637
236,Dominican Republic,DOM,2015,0.49,,6500.0,71164825256.6849,2.26699798272622,21036.5,36490.0016784668
237,Ecuador,ECU,2000,0.46,"58,4",1560.0,18327764882.4412,1.74632620090418,137305.0,48119.9989318848
238,Ecuador,ECU,2005,0.48,"58,6",2890.0,41507085000.0,2.04938088023122,133793.45,59849.9984741211
239,Ecuador,ECU,2007,0.47,"60,6",3310.0,51007777000.0,2.14989854917969,132388.83,62020.0004577637
240,Ecuador,ECU,2010,0.51,"60,6",4400.0,69555367000.0,2.48505879248825,130281.9,70839.9963378906
241,Ecuador,ECU,2015,0.55,,5980.0,99290381000.0,2.56361148997837,128191.8,74089.9963378906
242,Egypt,EGY,2000,0.34,"48,3",1370.0,99838543960.0763,1.60582595505977,592.1,185770.004272461
243,Egypt,EGY,2005,0.38,"54,0",1160.0,89600665557.4043,2.051462096332,624.25,244429.992675781
244,Egypt,EGY,2007,0.38,"54,5",1460.0,130437828371.278,2.23063452975521,637.11,270760.009765625
245,Egypt,EGY,2010,0.39,"55,2",2250.0,218983666061.706,2.29575309921336,656.4,289950.012207031
246,Egypt,EGY,2015,0.41,,3160.0,329366576819.407,2.315505548237,484.2,317380.004882813
247,El Salvador,SLV,2000,0.38,"50,7",1880.0,11784927700.0,0.944871529359323,6738.8,10119.9998855591
248,El Salvador,SLV,2005,0.41,"52,3",2420.0,14698000000.0,1.13285979892863,6513.8,12310.0004196167
249,El Salvador,SLV,2007,0.43,"52,1",2710.0,17011750000.0,1.26238165824681,6423.8,13369.9998855591
250,El Salvador,SLV,2010,0.43,"52,1",2910.0,18447920000.0,1.06967019840796,6288.8,12189.9995803833
251,El Salvador,SLV,2015,0.45,,3490.0,23438240000.0,1.12340328284117,6063.8,12220.0002670288
